qa_id,question,golden_answer,agent_id,expected_chunks,difficulty_level,source_domain,created_at
qa_011,Como dimensionar uma linha de transmissão de 500kV para 250km?,"Usar coordenadas de torre (altura, base), calcular impedância série (R, L, C), capacidade térmica (ampacidade), queda de tensão (< 5%), estabilidade transitória. Normas: ABNT NBR 6655, IEEE 738.",agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,hard,transmission,2026-07-25T00:46:04.902010+00:00
qa_012,Qual é o período de concessão típico para geração eólica no Brasil?,"Tipicamente 20-30 anos em contrato de concessão. PPA (Power Purchase Agreement) entre gerador e distribuidor/grande consumidor, preço fixo ou variável com indexação.",agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,easy,renewable_energy,2026-07-25T00:46:04.902014+00:00
qa_013,Qual é a celeridade do cabo ACSR 636 MCM em LT de 345kV?,"Celeridade de propagação onda eletromagnética em linha aérea: v = c / sqrt(εr) ≈ 0.97c (300k km/s aprox). Para cabo ACSR 636 MCM, tabelado em normas IEEE, típico ~0.95-0.97c.",agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,medium,transmission_design,2026-07-25T00:46:04.902017+00:00
qa_014,Qual RBAC orienta projeto de pista de subestação?,"Norma ABNT NBR 14039 (instalações elétricas em MT) e IEC 61936 (MT de corrente alternada). Distâncias de segurança, aterramento, layout, sinalização, proteção.",agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,easy,standards,2026-07-25T00:46:04.902031+00:00
qa_015,O que é MRE na operação do SIN brasileiro?,MRE = Mecanismo de Realocação de Energia. Hidroelétricas brasileiras colocam energia em pool e dividem risco de vazão. Diferenças de receita compensadas entre usinas (geração real vs garantida).,agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,medium,operation,2026-07-25T00:46:04.902034+00:00
qa_016,Qual é a diferença entre leilão de transmissão e concessão direta?,"Leilão: competição pública, ANEEL fixa RAP mínima. Concessão direta: empresa privada propõe projeto, ANEEL avalia. Leilão reduz custos, concessão direta permite inovação.",agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,easy,regulation,2026-07-25T00:46:04.902038+00:00
qa_017,Como calcular a queda de tensão em um circuito de distribuição?,"ΔV(%) = (R×P + X×Q) / (10 × V²), onde R, X são resistência/reatância (Ω/km), P, Q são potência ativa/reativa (kW, kVAr), V é tensão (kV). Máximo: 8% em distribuição primária.",agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,medium,distribution,2026-07-25T00:46:04.902041+00:00
qa_018,O que é RAP em leilão de transmissão ANEEL?,"RAP = Receita Anual Permitida, determinada por ANEEL em edital de concessão. Define remuneração garantida ao concessionário por T anos (tipicamente 30-35). Revisão tarifária a cada 4-5 anos.",agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,easy,regulation,2026-07-25T00:46:04.902045+00:00
qa_019,Como fazer estudo de ampacidade para condutor em LT?,"Usar metodologia IEEE 738 ou IEC 60287: balançear ganhos de calor por efeito Joule vs perdas por radiação/convecção. Dados: temperatura ambiente, velocidade vento, elevação, fator solar, emissividade.",agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,hard,transmission_design,2026-07-25T00:46:04.902048+00:00
qa_020,Como projetar uma subestação de 230kV isolada em gás (GIS)?,"GIS vs isolação ar: menor footprint, menor manutenção, custo inicial maior. Equipamentos: transformador, disjuntor GIS, para-raios, seccionadora, transformador de corrente/tensão. Arranjo: barra simples ou dupla conforme carga.",agente-energia,chunk_energia_1;chunk_energia_2;chunk_energia_3,medium,substation_design,2026-07-25T00:46:04.902051+00:00
qa_021,Qual PIANC bulletin cobre projeto de quebra-mar em enrocamento?,"PIANC WG33 (2016): Design of Low-Crested Coastal Defence Structures. Para berço-porto: WG34 (Breakwater Design), analisa ondas, recorrência tempestade, altura de onda (H1/3, Hmax).",agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,medium,standards,2026-07-25T00:46:04.902061+00:00
qa_022,Como calcular o volume de areia em praia artificial para mitigação portuária?,Volume = (profundidade × comprimento × largura) com fator de compactação (1.3-1.5). Material: areia com granulometria 0.15-2mm (conforme norma). Manutenção anual para erosão (5-15% ao ano).,agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,medium,environmental,2026-07-25T00:46:04.902064+00:00
qa_023,O que é TUP no contexto de concessão portuária?,TUP = Terminal de Uso Privado. Pessoa jurídica autorizada ANTAQ a operar terminal portuário por concessão (20-40 anos típico). Diferente de Terminal Público (porto organizado).,agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,easy,regulation,2026-07-25T00:46:04.902067+00:00
qa_024,Qual é a diferença entre um píer e um cais?,"Cais: estrutura paralela ao costado, amarração lateral do navio. Píer: estrutura perpendicular, amarração em tandem (proa-popa). Píer permite maior throughput, cais maior flexibilidade de acesso.",agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,easy,terminal_design,2026-07-25T00:46:04.902070+00:00
qa_025,Como dimensionar a defensa de um berço para navio Panamax?,"Panamax: 300m comprimento, 33m boca, 12m calado. Defensa absorve energia cinética (0.5×M×V²). Tipo: tubo cilíndrico, pneu, fender pneumático. Espaçamento 30-50m, resistência > força de amarração.",agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,hard,terminal_design,2026-07-25T00:46:04.902076+00:00
qa_026,Qual é o calado máximo permitido no Porto de Santos?,Calado operacional ~ 14-15m em maré alta (Porto de Santos tem 12.5m de profundidade nominal). Limitado por dragagem e batimetria. Revisar ANTAQ/Porto Authority para dados atualizados.,agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,easy,port_operation,2026-07-25T00:46:04.902080+00:00
qa_027,Como dimensiono o pátio de estocagem para cargas contêiner + granel?,"TEU/m² (contêiner): 8-12 (altura até 5 camadas). Granel: t/m² (3-5 metros altura). Mix: considerar rotatividade, dwell time. Equipamentos de movimentação: RTG, SC, carretas.",agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,medium,terminal_design,2026-07-25T00:46:04.902083+00:00
qa_028,O que é arrendamento portuário conforme ANTAQ?,"ANTAQ autoriza arrendamento de áreas/berços em portos organizados para operação de terminal. Contrato por 25-40 anos, renovável. Operador paga à administração portuária taxa de arrendamento e taxa de utilização.",agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,easy,regulation,2026-07-25T00:46:04.902089+00:00
qa_029,Como calculo o número de portêineres para um terminal de contêineres com throughput de 2M TEU/ano?,"Produtividade portêiner: 30-40 moves/hora. Para 2M TEU, ciclo anual ÷ (dias úteis × horas × produtividade) = número equipamentos. Típico: 8-12 portêineres para 2M TEU.",agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,medium,port_equipment,2026-07-25T00:46:04.902092+00:00
qa_030,Como planejo dragagem de canal de acesso com maré de 2.5m?,Profundidade projeto = (calado operacional - maré mínima) + allowance de segurança (0.5-1.0m). Dragagem mecânica vs hidráulica. Volante de dragagem considerando reciclagem e sazonalidade.,agente-portos,chunk_portos_1;chunk_portos_2;chunk_portos_3,medium,dredging,2026-07-25T00:46:04.902103+00:00
qa_031,Como projeto o balizamento CAT II para operação noturna em aeroporto?,"CAT II (decisão altura 100-200 ft, visibilidade 400-800m). Luzes de aproximação, pista, zona de toque. ILS (Instrument Landing System) com localizer, glideslope, marker beacons. Norma ICAO Annex 14, parte 4.",agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,hard,navigation_aids,2026-07-25T00:46:04.902112+00:00
qa_032,Qual é a diferença entre TPS e TECA em um aeroporto?,"TPS = Terminal de Passageiros (landside, gates, check-in, bagagem, embarque). TECA = Terminal de Cargas (logística, alfândega, armazenagem). Independentes, com infraestrutura própria (pátio, garagens, docas).",agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,easy,terminal_design,2026-07-25T00:46:04.902115+00:00
qa_033,Qual é o PCN (Pavement Classification Number) da minha pista?,"PCN (ICAO Annex 14): número que caracteriza capacidade de pavimento em suportar carga de aeronave. Cálculo: resistência CBR do subleito, espessura camadas, método FAA ACN-PCN. Escala 10-100.",agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,medium,airfield_design,2026-07-25T00:46:04.902119+00:00
qa_034,Como dimensiono uma pista de pouso para aeronaves tipo A320neo?,"A320neo: comprimento 37.6m, altura 12.5m, peso máximo 73-80t (MTOW), distância decolagem ~2400m, pouso ~1500m. Pista: mínimo 2500m (margem segurança), pavimento rígido ou flexível (NBR 14054).",agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,hard,airfield_design,2026-07-25T00:46:04.902125+00:00
qa_035,Qual é a vida útil típica de pavimento rígido (concreto) em pista?,"20-30 anos com manutenção preventiva (junta de dilatação, selagem). Pavimento flexível (asfalto): 15-20 anos. Considerar tráfego acumulado (ESA = Equivalent Single Axle), clima, drenagem.",agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,easy,pavement_design,2026-07-25T00:46:04.902129+00:00
qa_036,Como calculo o tamanho do pátio de aeronaves para 20 A320 simultâneos?,"A320: footprint ~40m × 37m = ~1480 m² com margens de segurança (20-25m entre proas). Para 20 A320: ~30-35k m² pátio + rodovias de acesso, pontes de embarque (~500m²/unidade).",agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,medium,airfield_design,2026-07-25T00:46:04.902135+00:00
qa_037,O que é RBAC em aviação civil brasileira?,"RBAC = Regulamento Brasileiro de Aviação Civil (editado por ANAC). RBAC 14: Operações de aeródromos comerciais. RBAC 154: Projeto de aeródromos. Normas de segurança, pavimento, sinalização.",agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,easy,regulation,2026-07-25T00:46:04.902138+00:00
qa_038,O que é código ICAO de referência de um aeroporto?,"Código referência ICAO Annex 14: classe de aeródromo (1-4) × comprimento RWY (A-F). Ex: código 4F = aeronaves até A380 e RWY >= 2400m. Define requerimentos de segurança, espaçamentos, equipamentos.",agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,easy,standards,2026-07-25T00:46:04.902141+00:00
qa_039,Como projeto as rodovias de táxi (taxiways) de um aeroporto regional?,"Largura mínima: 15-23m (conforme código ICAO, aceleração requerida). Raio curva: 200-300m (A320). Distância eixo-eixo RWY-TWY: 150-300m (safety buffer). Pavimento: rígido ou flexível, CBR > 4-8.",agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,medium,airfield_design,2026-07-25T00:46:04.902147+00:00
qa_040,ICAO Annex 14 permite offset lateral de RWY (pista)?,Offset de RWY: máximo 2% do comprimento (norma ICAO). Utilizado para desviar de obstáculos ou considerar topografia. Deve manter operacionalidade em ambas as direções.,agente-aeroportos,chunk_aeroportos_1;chunk_aeroportos_2;chunk_aeroportos_3,medium,standards,2026-07-25T00:46:04.902151+00:00
qa_041,O que é TSF (Tailings Storage Facility) e qual a vida útil típica?,"TSF = barragem de rejeitos (mineração). Vida útil: 20-50 anos conforme volume anual de rejeito. Risco de liquefação em alteamento a montante. Monitoramento: piezômetros, inclinômetros.",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,easy,tailings_management,2026-07-25T00:46:04.902158+00:00
qa_042,Como calcular a altura máxima de água (HMC) em barragem?,"HMC = elevação (cota de coroamento - 1-2m borda livre) menos efeito de onda. Margem segurança: borda livre >= 1.5-2.0m. Hidrograma de cheia, método estatístico (tempo retorno 500-1000 anos).",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,medium,hydrology,2026-07-25T00:46:04.902162+00:00
qa_043,Qual é o coeficiente de segurança mínimo contra ruptura em barragem?,"FS (fator segurança) mínimo: 1.5 (estado normal) a 1.3 (estado acidental). Cálculo: momento resistente / momento tomba, método lamelas ou Bishop simplificado, superfície crítica.",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,medium,stability_analysis,2026-07-25T00:46:04.902165+00:00
qa_044,Qual bulletin ICOLD cobre rejeitos filtrados (dry stack)?,"ICOLD Bulletin 164 (2016): Filtered Tailings. Tecnologia compactação de rejeitos (< 8% água), filtração, segregação granulométrica. Menor risco de liquefação vs rejeito convencional.",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,medium,standards,2026-07-25T00:46:04.902168+00:00
qa_045,Como projeto uma barragem CFRD (Concrete Face Rockfill Dam) de 80m?,"CFRD: núcleo de enrocamento + face de concreto (0.5-1.0m espessura). Projeto: estabilidade encosta (inclinação 1:1.5 a 1:2), drenagem interna, geotêxtil anti-erosão, construção faseada (seção 1-2m altura).",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,hard,dam_engineering,2026-07-25T00:46:04.902171+00:00
qa_046,O que é PNSB e quais são as exigências para inspeção periódica?,"PNSB = Plano Nacional de Segurança de Barragens (Lei 12.334/2010). Inspeção periódica: anual para barragem categoria alta/risco alto, avaliação de estabilidade a cada 2 anos (engenheiro registrado CREA).",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,easy,regulation,2026-07-25T00:46:04.902174+00:00
qa_047,Como faço dam breach analysis pós-Brumadinho?,"HEC-RAS ou similar: modelo 1D/2D de inundação. Inputs: hidrografia, DEM, parâmetros roughness. Cenários: ruptura parcial vs total, velocidade propagação onda. Mapa de inundação, altura água, velocidade.",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,hard,hazard_assessment,2026-07-25T00:46:04.902177+00:00
qa_048,Qual é a diferença entre barragem de concreto CCR e CCV?,"CCR = Concreto Compactado a Rolo (baixo cimento, alto friccionante, construção rápida). CCV = Concreto Convencional (lançamento convencional). CCR: mais econômico, menos calor, maior resistência fricção.",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,medium,dam_engineering,2026-07-25T00:46:04.902183+00:00
qa_049,O que significa categoria de risco (baixa/média/alta) conforme PNSB?,"PNSB: classificação por altura, volume, população afetada, dano potencial. Categoria alta: H > 15m, V > 3M m³, ou dano > 100 pessoas. Define frequência inspeção, requisitos projeto, estudo de confiabilidade.",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,easy,regulation,2026-07-25T00:46:04.902186+00:00
qa_050,Como projeto filtro drenante em barragem de enrocamento?,"Filtro (areia grossa ou pedrisco) entre núcleo e drenagem. Critério: D₁₅(filtro) / D₈₅(núcleo) < 5. Reduz erosão regressiva, dissipa pressão poro. Espessura mínima 2-3m.",agente-barragens,chunk_barragens_1;chunk_barragens_2;chunk_barragens_3,medium,seepage_control,2026-07-25T00:46:04.902189+00:00
