fonte_id,nome,instituicao,camada,entrega,setores,pais,periodicidade,licenca,verificacao,url,como_acessar,notas
F-011,Construction statistics,Eurostat,1,indice_macro,todos,UE,anual,publico,catalogada_nao_verificada,https://ec.europa.eu/eurostat/,Base Eurostat,Contas da construcao por pais e classe NACE.
F-012,ICIO - Inter-Country Input-Output Tables,OCDE,1,coeficiente_fisico,todos,MUNDO,quinquenal,publico,catalogada_nao_verificada,https://www.oecd.org/sti/ind/inter-country-input-output-tables.htm,Base OCDE,Coeficiente de insumo da construcao por pais. Melhor rota para comparacao internacional.
F-013,WIOD - World Input-Output Database,Universidade de Groningen,1,coeficiente_fisico,todos,MUNDO,eventual,publico,catalogada_nao_verificada,https://www.rug.nl/ggdc/valuechain/wiod/,Download academico,Serie descontinuada mas util para serie historica.
F-014,EXIOBASE,Consorcio EXIOBASE,1,coeficiente_fisico,todos,MUNDO,eventual,publico,catalogada_nao_verificada,https://www.exiobase.eu/,Registro gratuito,Insumo-produto ambientalmente estendido. Da aco e cimento por unidade de valor construido.
F-015,Global Material Flows Database,UN International Resource Panel,1,coeficiente_fisico,todos,MUNDO,anual,publico,catalogada_nao_verificada,https://www.resourcepanel.org/,Portal IRP,Intensidade material por setor e pais.
F-016,Construction Spending,US Census Bureau,1,indice_macro,todos,US,mensal,publico,catalogada_nao_verificada,https://www.census.gov/construction/,Portal Census,Denominador de CAPEX por tipo de obra nos EUA.
F-017,PPI Construction,US Bureau of Labor Statistics,1,indice_macro,todos,US,mensal,publico,catalogada_nao_verificada,https://www.bls.gov/ppi/,Portal BLS,Deflator de custo de construcao americano.
F-018,ICC - Indice del Costo de la Construccion,INDEC,1,indice_macro,todos,AR,mensal,publico,catalogada_nao_verificada,https://www.indec.gob.ar/,Portal INDEC,Pesos por familia de insumo na Argentina. Relevante para AySA.
F-019,SICRO 4,DNIT,2,coeficiente_fisico,S1;S2;S3;S4;S5,BR,semestral,publico,fonte_primaria_lida,https://www.gov.br/dnit/pt-br/assuntos/planejamento-e-pesquisa/custos-e-pagamentos,Portal DNIT,"Grupos de custo: equipamentos, mao de obra, materiais. Produtividade via PEM (Producao de Equipe Mecanica). Fatores de perda: FIC (chuvas) e FIT (trafego). NAO existe 'FIU' - erro corrigido em 2026-08-22 apos leitura do manual primario."
F-020,MCIT - Manual de Custos de Infraestrutura de Transportes,DNIT e IPR,2,metodologia,S1;S2;S3;S4;S5,BR,eventual,publico,fonte_primaria_lida,https://mnassociados.sharepoint.com/sites/Engenharia/04_IA/07_ORCAMENTO - BASES/SICRO/MANUAL DE CUSTO/,"SharePoint Engenharia, 1.301 arquivos SICRO mapeados em tres arvores: 02_CLIENTE/00_SICRO/01_SicroPDF/ (PDFs originais, subpastas 01_Sicro_Manuais, 02_Sicro_Cadernos_de_Aplicacao, 08_Sicro_Relatorios_Ocorrencias); 02_CLIENTE/00_SICRO/02_SicroJSON/ (MANUAIS JA CONVERTIDOS PARA JSON, com source_pdf, file_size_bytes e sha1 - pipeline de extracao ja existe na Manta); e 04_IA/07_ORCAMENTO - BASES/SICRO/ (MANUAL DE CUSTO e CADERNO DE APLICACAO).","LIDO NA ORIGEM (2026-08-22, via SharePoint). MCIT 2a edicao 2025, Vol 01, 111 p., aprovado pela Diretoria Colegiada do DNIT em 21/10/2025 (Relato 191/2025), revisao FGV (contratos 490/2021-00 e 647/2024-00). OITO VOLUMES: 01 Metodologia, 02 Mao de Obra, 03 Precos Referenciais, 04 FIC Fator de Influencia de Chuvas, 05 FIT Fator de Interferencia de Trafego, 06 Canteiro, 07 Administracao Local, 08 Mobilizacao. Produtividade = PEM (Producao de Equipe Mecanica, sec. 3.3.4). Os COEFICIENTES DE CONSUMO estao nos CADERNOS TECNICOS (memoriais de calculo), nao no manual. Tabela 4 do Vol 01 traz massas especificas referenciais de materiais, solos e agregados. MAPEAMENTO COMPLETO (2026-08-22): os OITO volumes estao no SharePoint, com tomos e cadernos de aplicacao - V01 Conceitos, V03 Precos Referenciais, V04 FIC (Tomo 1 e 2 + caderno), V05 FIT (+ caderno), V06 Canteiro (Tomo 1 modulos e projetos-tipo, Tomo 2 SERVICOS E QUANTIDADES dos projetos-tipo, + caderno), V07 Administracao Local (+ caderno), V08 Mobilizacao (+ caderno). CONCLUSAO NEGATIVA IMPORTANTE: os CADERNOS TECNICOS / MEMORIAIS DE CALCULO e as PRODUCOES DE EQUIPES MECANICAS - que o proprio V01 aponta como o lugar dos coeficientes de consumo de material e producao horaria - NAO estao no SharePoint. Os 'cadernos de aplicacao' presentes sao guias praticos de orcamentacao, nao os memoriais. O unico volume cujo titulo promete quantidade e o V06 Tomo 2, e e quantidade de projeto-tipo de canteiro (custo indireto), nao coeficiente de servico de obra."
F-021,Novo PAC - carteira de investimentos,Ministerio do Planejamento e Orcamento,2,custo_unitario_agregado,todos,BR,continua,publico,catalogada_nao_verificada,https://www.gov.br/casacivil/pt-br/novopac,Portal Novo PAC,Valor por obra. Denominador de CAPEX - NAO gera linha de intensidade direta.
F-022,PNL - Plano Nacional de Logistica,Ministerio dos Transportes e Infra S.A.,2,custo_unitario_agregado,S1;S2;S3;S6,BR,eventual,publico,catalogada_nao_verificada,https://www.gov.br/transportes/pt-br,Portal MT,Custo de referencia por km e por modal.
F-023,PELT - Planos Estaduais de Logistica e Transportes,Governos estaduais,2,custo_unitario_agregado,S1;S2;S3,BR,eventual,publico,catalogada_nao_verificada,,Portais estaduais,Cobertura desigual entre estados.
F-024,Planos Mestres Portuarios,Ministerio de Portos e Aeroportos,2,custo_unitario_agregado,S6,BR,eventual,publico,catalogada_nao_verificada,https://www.gov.br/portos-e-aeroportos/pt-br,Portal MPor,CAPEX por terminal e por berco. Principal fonte publica de portos.
F-025,PNLP - Plano Nacional de Logistica Portuaria,Ministerio de Portos e Aeroportos,2,custo_unitario_agregado,S6,BR,eventual,publico,catalogada_nao_verificada,https://www.gov.br/portos-e-aeroportos/pt-br,Portal MPor,Demanda e investimento portuario de longo prazo.
F-026,Estudos de concessao aeroportuaria,ANAC e Ministerio de Portos e Aeroportos,2,custo_unitario_agregado,S7,BR,eventual,publico,catalogada_nao_verificada,https://www.gov.br/anac/pt-br,Portal ANAC,"CAPEX dos blocos Sul, Central e Norte. Melhor fonte de aeroportos no Brasil."
F-027,PLANSAB - Plano Nacional de Saneamento Basico,Ministerio das Cidades,2,custo_unitario_agregado,S8,BR,eventual,publico,catalogada_nao_verificada,https://www.gov.br/cidades/pt-br,Portal MCid,Necessidade de investimento para universalizacao.
F-028,PDE - Plano Decenal de Expansao de Energia,EPE,2,custo_unitario_agregado,S9,BR,anual,publico,catalogada_nao_verificada,https://www.epe.gov.br/,Portal EPE,Investimento previsto em geracao e transmissao.
F-029,PNE 2050,EPE,2,custo_unitario_agregado,S9,BR,eventual,publico,catalogada_nao_verificada,https://www.epe.gov.br/,Portal EPE,Cenario de longo prazo do setor eletrico.
F-030,Relatorios R1 a R5 de leilao de transmissao,EPE e ANEEL,2,custo_unitario_agregado,S9,BR,por leilao,publico,catalogada_nao_verificada,https://www.epe.gov.br/,Portal EPE,Estimativa de investimento por lote e por km de LT. Muito util para intensidade de aco em transmissao.
F-031,Modulos de custo de transmissao e Banco de Precos de Referencia,ANEEL,2,custo_unitario_agregado,S9,BR,eventual,publico,catalogada_nao_verificada,https://www.aneel.gov.br/,Portal ANEEL,Custo por estrutura e por modulo de subestacao.
F-032,PISF - Projeto de Integracao do Rio Sao Francisco,MIDR,2,custo_unitario_agregado,S8,BR,continua,publico,catalogada_nao_verificada,https://www.gov.br/mdr/pt-br,Portal MIDR,Obra hidrica de grande porte com historico de custo publico.
F-033,Codevasf,Codevasf,2,custo_unitario_agregado,S8;S10,BR,continua,publico,catalogada_nao_verificada,https://www.codevasf.gov.br/,Portal Codevasf,Obras hidricas e de irrigacao.
F-034,DNOCS,DNOCS,2,custo_unitario_agregado,S8;S10,BR,continua,publico,catalogada_nao_verificada,https://www.gov.br/dnocs/pt-br,Portal DNOCS,Barragens e adutoras no Nordeste.
F-035,EVTEAs Infra S.A.,Infra S.A. (ex-EPL),2,custo_unitario_agregado,S1;S2;S3,BR,continua,publico,catalogada_nao_verificada,https://www.infrasa.gov.br/,Portal Infra S.A.,Orcamento referencial de obra linear. Fonte publica subutilizada.
F-036,Portal PPI - Programa de Parcerias de Investimentos,Ministerio da Gestao e da Inovacao,2,custo_unitario_agregado,todos,BR,continua,publico,catalogada_nao_verificada,https://www.ppi.gov.br/,Portal PPI,CAPEX de todo projeto concedido. Denominador central de capex_projeto.
F-037,Estudos de estruturacao de projetos e FEP,BNDES,2,custo_unitario_agregado,todos,BR,continua,publico,catalogada_nao_verificada,https://www.bndes.gov.br/,Portal BNDES,CAPEX aberto por disciplina em varios projetos.
F-038,Estudos e EVTEAs de concessao,ANTT,2,custo_unitario_agregado,S1;S2;S3,BR,continua,publico,catalogada_nao_verificada,https://www.gov.br/antt/pt-br,Portal ANTT,Orcamentos de referencia de rodovias e ferrovias.
F-039,Estudos de arrendamento portuario,ANTAQ,2,custo_unitario_agregado,S6,BR,continua,publico,catalogada_nao_verificada,https://www.gov.br/antaq/pt-br,Portal ANTAQ,Estudos de viabilidade com CAPEX por terminal.
F-040,Dados e estudos de aeroportos,ANAC,2,custo_unitario_agregado,S7,BR,continua,publico,catalogada_nao_verificada,https://www.gov.br/anac/pt-br,Portal ANAC,Movimentacao e investimento aeroportuario.
F-041,SNISB - Sistema Nacional de Informacoes sobre Seguranca de Barragens,ANA,2,indice_macro,S10,BR,anual,publico,catalogada_nao_verificada,https://www.gov.br/ana/pt-br,Portal ANA,Cadastro de barragens. Nao da custo mas da universo fisico.
F-042,SIGBM - Sistema de Gestao de Seguranca de Barragens de Mineracao,ANM,2,indice_macro,S10,BR,continua,publico,catalogada_nao_verificada,https://www.gov.br/anm/pt-br,Portal ANM,Barragens de rejeito e descaracterizacao.
F-043,SNIS - Sistema Nacional de Informacoes sobre Saneamento,Ministerio das Cidades,2,indice_macro,S8,BR,anual,publico,catalogada_nao_verificada,http://www.snis.gov.br/,Portal SNIS,Indicador operacional e investimento por prestador.
F-044,Acordaos de fiscalizacao de infraestrutura,TCU,2,coeficiente_fisico,todos,BR,continua,publico,catalogada_nao_verificada,https://portal.tcu.gov.br/,Busca de jurisprudencia,Auditoria de sobrepreco com curva ABC e produtividade em contraditorio tecnico. Fonte rara de coeficiente discutido.
F-045,Estudos de infraestrutura,IPEA,2,custo_unitario_agregado,todos,BR,continua,publico,catalogada_nao_verificada,https://www.ipea.gov.br/,Portal IPEA,Analise de custo de obra publica e produtividade.
F-046,Estudos setoriais e de mercado externo,APEX-Brasil,2,indice_macro,todos,BR,continua,publico,catalogada_nao_verificada,https://www.apexbrasil.com.br/,Portal Apex,Benchmark de engenharia brasileira no exterior.
F-047,Relatorios de auditoria de obras,CGU,2,coeficiente_fisico,todos,BR,continua,publico,catalogada_nao_verificada,https://www.gov.br/cgu/pt-br,Portal CGU,Complementa o TCU.
F-048,Tabela de precos e composicoes,DER-SP,2,coeficiente_fisico,S1;S2,BR,semestral,publico,catalogada_nao_verificada,http://www.der.sp.gov.br/,Portal DER-SP,Referencia paulista de obra rodoviaria.
F-049,Tabela de precos e composicoes,DER-PR,2,coeficiente_fisico,S1;S2,BR,semestral,publico,catalogada_nao_verificada,http://www.der.pr.gov.br/,Portal DER-PR,
F-050,Tabela SETOP,DER-MG e SETOP,2,coeficiente_fisico,S1;S2,BR,semestral,publico,catalogada_nao_verificada,http://www.der.mg.gov.br/,Portal SETOP,
F-051,ORSE - Orcamento de Obras de Sergipe,Governo de Sergipe,2,coeficiente_fisico,todos,BR,mensal,publico,catalogada_nao_verificada,http://www.orse.se.gov.br/,Portal ORSE,Boa cobertura de saneamento e edificacao.
F-052,Tabela de precos,SEINFRA-CE,2,coeficiente_fisico,todos,BR,anual,publico,catalogada_nao_verificada,https://www.seinfra.ce.gov.br/,Portal SEINFRA,
F-053,Tabela EMOP,EMOP-RJ,2,coeficiente_fisico,todos,BR,semestral,publico,catalogada_nao_verificada,http://www.emop.rj.gov.br/,Portal EMOP,
F-054,Tabela de precos,SUDECAP-BH,2,coeficiente_fisico,todos,BR,mensal,publico,catalogada_nao_verificada,https://prefeitura.pbh.gov.br/sudecap,Portal SUDECAP,
F-055,Boletim de precos,CPOS-SP,2,coeficiente_fisico,todos,BR,trimestral,publico,catalogada_nao_verificada,http://www.cpos.sp.gov.br/,Portal CPOS,Edificacao publica paulista.
F-056,Tabela de precos,AGETOP-GO,2,coeficiente_fisico,S1;S2,BR,semestral,publico,catalogada_nao_verificada,,Portal do governo de Goias,
F-057,Tabela de precos e composicoes,SABESP,2,coeficiente_fisico,S8,BR,semestral,publico,catalogada_nao_verificada,https://www.sabesp.com.br/,Portal de fornecedores,Composicoes de rede e ETA/ETE. Fonte central de saneamento.
F-058,Tabela de precos e composicoes,SANEPAR,2,coeficiente_fisico,S8,BR,semestral,publico,catalogada_nao_verificada,https://www.sanepar.com.br/,Portal de licitacoes,
F-059,Tabela de precos e composicoes,COPASA,2,coeficiente_fisico,S8,BR,semestral,publico,catalogada_nao_verificada,https://www.copasa.com.br/,Portal de licitacoes,
F-060,Orcamento padrao e criterios de projeto,Eletrobras,2,coeficiente_fisico,S9;S10,BR,eventual,publico,catalogada_nao_verificada,https://eletrobras.com/,Acervo Eletrobras,Referencia historica de UHE e transmissao.
F-061,Pliegos e analisis de precios,AySA,2,coeficiente_fisico,S8,AR,continua,publico,catalogada_nao_verificada,https://www.aysa.com.ar/,Portal de licitaciones,"PRIORIDADE AySA. O analisis de precios argentino publica coeficiente explicito de mao de obra, equipo e material."
F-062,Marco regulatorio e indicadores,ERAS,2,indice_macro,S8,AR,anual,publico,catalogada_nao_verificada,https://www.eras.gov.ar/,Portal ERAS,Regulacao tarifaria da concessao AySA.
F-063,Numeros do setor e relatorio anual,SNIC,3,coeficiente_fisico,todos,BR,mensal,publico,snippet_busca,http://snic.org.br/numeros-do-setor.php,Portal SNIC,"Consumo aparente de cimento. 64,7 a 64,8 Mt em 2024 conforme a fonte. Publica tambem a distribuicao por CANAL de venda - dado de 2006 encontrado (66,4% revendas, 18,1% industrial/construtoras, 12,9% concreteiras, 2,6% exportacao) indica que a maior parte NAO passa pela construcao formal medida pela PAIC. Sustenta a ressalva da autoconstrucao. Buscar serie recente."
F-064,Mercado Brasileiro do Aco - analise setorial e regional,Instituto Aco Brasil,3,coeficiente_fisico,todos,BR,anual,publico,snippet_busca,https://www.acobrasil.org.br/,Portal Aco Brasil,"Consumo aparente 26,1 Mt em 2024 e participacao da construcao civil de 37,3%."
F-065,Publicacoes tecnicas,ABCP,3,coeficiente_fisico,todos,BR,continua,publico,catalogada_nao_verificada,https://abcp.org.br/,Portal ABCP,Consumo de cimento por aplicacao.
F-066,Indice ABRAMAT,ABRAMAT,3,indice_macro,todos,BR,mensal,publico,catalogada_nao_verificada,https://www.abramat.org.br/,Portal ABRAMAT,Faturamento da industria de materiais.
F-067,CBIC Dados,CBIC,3,coeficiente_fisico,todos,BR,continua,publico,catalogada_nao_verificada,http://www.cbicdados.com.br/,Portal CBIC Dados,"Consolidador de consumo de cimento e aco, emprego e custo. Atalho para varias series."
F-068,Estudo do Mercado Brasileiro de Equipamentos para Construcao,Sobratema,3,coeficiente_fisico,todos,BR,anual,licenciado,catalogada_nao_verificada,https://sobratema.org.br/,Compra do estudo,"MELHOR FONTE BR de frota e hora-maquina. Dados de mercado obtidos: 58,2 mil maquinas vendidas em 2024 (+9% vs 53,5 mil em 2023), sendo 36,6 mil de linha amarela (+14%); estimativa de 56,7 mil em 2025 (-2%). FROTA PARADA: 18% em 2025 contra 11% em 2024 - dado de UTILIZACAO, relevante para FIC/FIT. Atencao: venda de maquina e FLUXO DE INVESTIMENTO, nao consumo de hora-maquina; nao gera linha de intensidade. Verificar assinatura Manta."
F-069,Estatisticas de maquinas e equipamentos,ABIMAQ,3,indice_macro,todos,BR,mensal,publico,catalogada_nao_verificada,https://www.abimaq.org.br/,Portal ABIMAQ,Vendas de maquinas de construcao.
F-070,Anuario da infraestrutura,ABDIB,3,custo_unitario_agregado,todos,BR,anual,publico,catalogada_nao_verificada,https://www.abdib.org.br/,Portal ABDIB,CAPEX por setor de infraestrutura.
F-071,Indicadores industriais e de produtividade,CNI,3,indice_macro,todos,BR,mensal,publico,catalogada_nao_verificada,https://www.portaldaindustria.com.br/cni/,Portal CNI,
F-072,CUB - Custo Unitario Basico,SindusCon-SP,3,custo_unitario_agregado,todos,BR,mensal,publico,catalogada_nao_verificada,https://sindusconsp.com.br/,Portal SindusCon,Edificacao. Serve de referencia de estrutura de custo.
F-073,Publicacoes tecnicas,ABES,3,coeficiente_fisico,S8,BR,continua,publico,catalogada_nao_verificada,https://abes-dn.org.br/,Portal ABES,
F-074,Cadernos tecnicos,CBDB,3,coeficiente_fisico,S10,BR,continua,publico,catalogada_nao_verificada,https://www.cbdb.org.br/,Portal CBDB,Referencia BR de barragens. Necessaria para S10 porque a CNAE nao tem classe dedicada.
F-075,Publicacoes,ABCE,3,metodologia,todos,BR,continua,publico,catalogada_nao_verificada,https://www.abceconsultoria.org.br/,Portal ABCE,Consultoria de engenharia - estrutura de custo de projeto.
F-076,Publicacoes tecnicas,ABPv,3,coeficiente_fisico,S1,BR,continua,publico,catalogada_nao_verificada,https://abpv.org.br/,Portal ABPv,Pavimentacao.
F-077,Publicacoes tecnicas,IBRACON,3,coeficiente_fisico,todos,BR,continua,publico,catalogada_nao_verificada,https://ibracon.org.br/,Portal IBRACON,Consumo de cimento por classe de concreto.
F-078,Publicacoes tecnicas,ABMS e ABGE,3,coeficiente_fisico,S2;S4;S10,BR,continua,publico,catalogada_nao_verificada,https://www.abms.com.br/,Portais ABMS e ABGE,Geotecnia e fundacoes.
F-079,INCC - Indice Nacional de Custo da Construcao,FGV IBRE,4,indice_macro,todos,BR,mensal,publico,catalogada_nao_verificada,https://portal.fgv.br/ibre,Portal FGV IBRE,"PESOS POR FAMILIA DE INSUMO - insumo direto do metodo indireto. Estrutura confirmada: dois grupos (Materiais/Equipamentos/Servicos e Mao de Obra), 7 capitais. Os PERCENTUAIS nao foram obtidos por busca; exigem a metodologia oficial da FGV. Prioridade alta."
F-080,IGP-DI e IGP-M,FGV IBRE,4,indice_macro,todos,BR,mensal,publico,catalogada_nao_verificada,https://portal.fgv.br/ibre,Portal FGV IBRE,Deflator.
F-081,Sondagem da Construcao,FGV IBRE,4,indice_macro,todos,BR,mensal,publico,catalogada_nao_verificada,https://portal.fgv.br/ibre,Portal FGV IBRE,Utilizacao de capacidade e custo percebido.
F-082,Estudos de infraestrutura,FGV Projetos,4,custo_unitario_agregado,todos,BR,continua,publico,catalogada_nao_verificada,https://fgvprojetos.fgv.br/,Portal FGV Projetos,
F-083,Estudos de regulacao e infraestrutura,FGV CERI,4,custo_unitario_agregado,todos,BR,continua,publico,catalogada_nao_verificada,https://ceri.fgv.br/,Portal FGV CERI,Custo de concessao e regulacao.
F-084,Indices de custo e estudos setoriais,FIPE-USP,4,indice_macro,todos,BR,mensal,publico,catalogada_nao_verificada,https://www.fipe.org.br/,Portal FIPE,
F-085,Estudos e pesquisas aplicadas,FIA - Fundacao Instituto de Administracao,4,metodologia,todos,BR,continua,publico,catalogada_nao_verificada,https://fia.com.br/,Portal FIA,Estudos de gestao e custo setorial.
F-086,Pesquisa de perdas de materiais e produtividade da mao de obra,Poli-USP PCC,5,coeficiente_fisico,todos,BR,eventual,publico,catalogada_nao_verificada,https://www.pcc.usp.br/,Biblioteca digital USP,REFERENCIA NACIONAL de perdas em canteiro (Agopyan e Souza). Diferenca entre perda de norma e perda medida chega a dezenas de pontos percentuais.
F-087,Relatorios tecnicos,IPT,5,coeficiente_fisico,todos,BR,continua,publico,catalogada_nao_verificada,https://www.ipt.br/,Portal IPT,
F-088,Teses e pesquisa em geotecnia e estruturas,EESC-USP Sao Carlos,5,coeficiente_fisico,S2;S10,BR,continua,publico,catalogada_nao_verificada,https://www.eesc.usp.br/,Biblioteca digital USP,
F-089,Pesquisa de perdas e Lean Construction,NORIE-UFRGS,5,coeficiente_fisico,todos,BR,continua,publico,catalogada_nao_verificada,https://www.ufrgs.br/norie/,Repositorio UFRGS,Formoso. Complementa a Poli-USP em perdas.
F-090,Pesquisa em portos e geotecnia,COPPE-UFRJ,5,coeficiente_fisico,S6;S10,BR,continua,publico,catalogada_nao_verificada,https://www.coppe.ufrj.br/,Repositorio UFRJ,
F-091,Benchmarking de produtividade,CII - Construction Industry Institute,5,coeficiente_fisico,todos,US,continua,licenciado,catalogada_nao_verificada,https://www.construction-institute.org/,Associacao paga,Benchmarking internacional de produtividade de mao de obra.
F-092,Base de desvio de custo e reference class forecasting,Oxford Global Projects,5,custo_unitario_agregado,todos,MUNDO,continua,licenciado,catalogada_nao_verificada,https://oxfordglobalprojects.com/,Contato comercial,Flyvbjerg. Base de sobrecusto por classe de projeto.
F-093,Transit Costs Project,NYU Marron Institute,5,custo_unitario_agregado,S3;S4,MUNDO,continua,publico,catalogada_nao_verificada,https://transitcosts.com/,Portal aberto,Custo comparado de metro e ferrovia entre paises.
F-094,ROCKS - Road Costs Knowledge System,Banco Mundial,6,custo_unitario_agregado,S1;S2,MUNDO,eventual,publico,catalogada_nao_verificada,https://www.worldbank.org/,Portal Banco Mundial,Custo unitario de obra rodoviaria por pais.
F-095,HDM-4,Banco Mundial e PIARC,6,custo_unitario_agregado,S1,MUNDO,eventual,licenciado,catalogada_nao_verificada,https://www.piarc.org/,Licenca PIARC,Modelo de custo de ciclo de vida rodoviario.
F-096,PPI - Private Participation in Infrastructure Database,Banco Mundial,6,custo_unitario_agregado,todos,MUNDO,anual,publico,catalogada_nao_verificada,https://ppi.worldbank.org/,Portal aberto,CAPEX de projetos com participacao privada.
F-097,Contract Awards Database,Banco Mundial,6,custo_unitario_agregado,todos,MUNDO,continua,publico,catalogada_nao_verificada,https://www.worldbank.org/,Portal de procurement,Valor real de contrato por pais e setor.
F-098,Port Reform Toolkit,Banco Mundial,6,custo_unitario_agregado,S6,MUNDO,eventual,publico,catalogada_nao_verificada,https://www.worldbank.org/,Portal aberto,Custo unitario portuario por tipo de terminal.
F-099,ESMAP,Banco Mundial,6,custo_unitario_agregado,S9,MUNDO,continua,publico,catalogada_nao_verificada,https://www.esmap.org/,Portal aberto,Custo de energia e transmissao.
F-100,INFRALATAM,BID e CAF e CEPAL,6,custo_unitario_agregado,todos,LATAM,anual,publico,catalogada_nao_verificada,https://infralatam.info/,Portal aberto,DENOMINADOR LATINO-AMERICANO CANONICO. Investimento em infraestrutura por setor e pais.
F-101,Publicacoes de infraestrutura,BID - Banco Interamericano de Desenvolvimento,6,custo_unitario_agregado,todos,LATAM,continua,publico,catalogada_nao_verificada,https://www.iadb.org/,Portal aberto,
F-102,Informe IDEAL,CAF,6,custo_unitario_agregado,todos,LATAM,anual,publico,catalogada_nao_verificada,https://www.caf.com/,Portal aberto,Economia e desenvolvimento da infraestrutura na regiao.
F-103,Estatisticas de investimento em infraestrutura,CEPAL,6,custo_unitario_agregado,todos,LATAM,anual,publico,catalogada_nao_verificada,https://www.cepal.org/,Portal aberto,
F-104,Guidance de custo de projeto e JASPERS,Banco Europeu de Investimento,6,custo_unitario_agregado,todos,UE,continua,publico,catalogada_nao_verificada,https://www.eib.org/,Portal aberto,
F-105,Guide to Cost-Benefit Analysis of Investment Projects,Comissao Europeia DG REGIO,6,custo_unitario_agregado,todos,UE,eventual,publico,catalogada_nao_verificada,https://ec.europa.eu/regional_policy/,Portal aberto,Traz custo unitario de referencia por setor.
F-106,Handbooks de analise economica de projeto,ADB - Asian Development Bank,6,custo_unitario_agregado,S8;S9,ASIA,continua,publico,catalogada_nao_verificada,https://www.adb.org/,Portal aberto,
F-107,Getting Infrastructure Right e ITF,OCDE,6,metodologia,todos,MUNDO,continua,publico,catalogada_nao_verificada,https://www.oecd.org/,Portal aberto,Governanca e custo de transporte.
F-108,ASIST - labour-based technology,OIT / ILO,6,coeficiente_fisico,S1,AFRICA,eventual,publico,catalogada_nao_verificada,https://www.ilo.org/,Portal aberto,Coeficiente de mao de obra por m3 em obra de baixa mecanizacao. Dado que falta nas fontes de paises ricos.
F-109,Review of Maritime Transport,UNCTAD,6,indice_macro,S6,MUNDO,anual,publico,catalogada_nao_verificada,https://unctad.org/,Portal aberto,
F-110,World Energy Investment,IEA,6,custo_unitario_agregado,S9,MUNDO,anual,publico,catalogada_nao_verificada,https://www.iea.org/,Portal aberto,
